year,stateProvince,total_n_species,Nymphalidae_n_species,Apidae_n_species,Noctuidae_n_species,Lepidoptera_n_species,Papilionidae_n_species,Coleoptera_n_species
1999,Connecticut,388,26.0,,71.0,352.0,4.0,3.0
2000,Connecticut,290,7.0,2.0,63.0,275.0,1.0,3.0
2001,Connecticut,376,7.0,,87.0,366.0,3.0,
2002,Connecticut,259,2.0,1.0,58.0,234.0,,3.0
2003,Connecticut,263,1.0,,54.0,253.0,1.0,2.0
2004,Connecticut,274,1.0,,63.0,265.0,,1.0
2005,Connecticut,235,3.0,,59.0,221.0,,3.0
2006,Connecticut,155,3.0,1.0,36.0,150.0,,2.0
2007,Connecticut,155,4.0,1.0,27.0,143.0,1.0,2.0
2008,Connecticut,102,3.0,4.0,18.0,86.0,,5.0
2009,Connecticut,127,2.0,3.0,18.0,109.0,,3.0
2010,Connecticut,155,2.0,2.0,30.0,108.0,,12.0
2011,Connecticut,105,3.0,,16.0,89.0,1.0,3.0
2012,Connecticut,154,6.0,,18.0,112.0,2.0,12.0
2013,Connecticut,146,3.0,18.0,18.0,67.0,2.0,
2014,Connecticut,207,6.0,,44.0,174.0,3.0,10.0
2015,Connecticut,133,3.0,,39.0,121.0,2.0,1.0
2016,Connecticut,149,4.0,1.0,36.0,104.0,3.0,36.0
2017,Connecticut,44,,,12.0,29.0,,2.0
2018,Connecticut,79,1.0,,29.0,75.0,,1.0
2019,Connecticut,123,6.0,2.0,45.0,106.0,4.0,1.0
2020,Connecticut,71,1.0,,41.0,68.0,,
2021,Connecticut,21,1.0,1.0,,19.0,,
2022,Connecticut,20,1.0,,,10.0,,
2023,Connecticut,30,2.0,3.0,2.0,14.0,1.0,1.0
2024,Connecticut,6,,,,5.0,,
