DATE,TMIN,TAVG,TMAX
2000,39.73076923076923,49.56666666666666,59.425000000000004
2001,40.70909090909091,51.25454545454545,61.8
2002,41.791666666666664,51.80833333333334,61.646153846153844
2003,39.715384615384615,48.97692307692308,58.23076923076923
2004,39.92307692307692,49.699999999999996,59.184615384615384
2005,39.74545454545454,49.57272727272727,59.372727272727275
2006,41.725,51.127272727272725,60.40909090909091
2007,39.84117647058823,49.741176470588236,59.66470588235294
2008,40.4,50.03125,59.64375
2009,39.13846153846154,48.43846153846154,57.75384615384615
2010,41.478571428571435,51.142857142857146,60.82142857142857
2011,40.78333333333333,50.666666666666664,60.53333333333333
2012,42.43529411764706,52.2235294117647,62.02352941176471
2013,39.68,49.68,59.705
2014,38.56111111111111,48.56111111111111,58.58888888888888
2015,39.21,49.83,60.475
2016,41.27894736842105,51.78947368421053,62.31052631578948
2017,41.357894736842105,50.93684210526315,60.51578947368421
2018,41.129411764705885,50.3235294117647,59.51176470588236
2019,39.71176470588235,49.45294117647059,59.17058823529412
2020,42.107142857142854,51.66428571428571,61.221428571428575
2021,42.278571428571425,51.50714285714286,60.721428571428575
2022,40.65625,50.9625,61.30588235294118
2023,42.68666666666666,52.17333333333333,61.66
2024,42.1625,51.95625,61.7625
